Sample Name,Mass in mg,TStart in °C,TEnd in °C,Tc in °C,∆Hc in Jg-1,Peak Signal Characterisation_Bimodal,Peak Signal Characterisation_Sharp Monodal,Peak Signal Characterisation_Wide Monodal,Peak Signal Characterisation_Left Tail,Peak Signal Characterisation_Right Tail,Peak Signal Characterisation_Left Shoulder,Peak Signal Characterisation_Right Shoulder,Peak Signal Characterisation,Segment,"Tc,2 in °C"
3-UV-PE-1_2,1.27,36,100.69,94.5,-126,,x,,l,,x,,,1st Cooling,
3-UV-PE-1_3,1.37,36,100.2,94.3,-127.6,,x,,l,,x,,,1st Cooling,
3-UV-PE-1_4,1.41,36,100.27,94.5,-124.9,,x,,l,,x,,,1st Cooling,
3-UV-PE-1_5,1.47,36,100.5,94.6,-124.5,,x,,l,,x,,,1st Cooling,
3-UV-PE-2_1,1.33,36,100.25,94.6,-130,,x,,l,,x,,,1st Cooling,
3-UV-PE-2_2,1.36,36,100.8,94.4,-128.9,,x,,l,,x,,,1st Cooling,
3-UV-PE-2_3,1.44,36,100.228,94.5,-126.3,,x,,l,,x,,,1st Cooling,
3-UV-PE-2_4,1.37,36,101.2,94.5,-122.6,,x,,l,,x,,,1st Cooling,
3-UV-PE-2_5,1.5,36,100.66,94.6,-125.1,,x,,l,,x,,,1st Cooling,
3-UV-PE-3_1,1.49,36,100.58,94.5,-125.2,,x,,l,,x,,,1st Cooling,
3-UV-PE-3_2,1.35,36,100.93,94.3,-127.2,,x,,l,,x,,,1st Cooling,
3-UV-PE-3_3,1.3,36,100.36,94.5,-127.9,,x,,l,,x,,,1st Cooling,
3-UV-PE-3_4,1.33,36,101.06,94.5,-127.3,,x,,l,,x,,,1st Cooling,
3-UV-PE-3_5,1.35,36,101.097,94.5,-127.6,,x,,l,,x,,,1st Cooling,
3-UV-PE-4_1,1.27,36,100.78,94.4,-123.9,,x,,l,,x,,,1st Cooling,
3-UV-PE-4_2,1.32,36,101.41,94.4,-128.9,,x,,l,,x,,,1st Cooling,
3-UV-PE-4_3,1.19,36,101.06,94.5,-126.6,,x,,l,,x,,,1st Cooling,
3-UV-PE-4_4,1.46,36,101.21,94.5,-126.7,,x,,l,,x,,,1st Cooling,
3-UV-PE-4_5,1.4,36,100.804,94.5,-126.7,,x,,l,,x,,,1st Cooling,
1-EBT-PE-1_1,1.18,41.42,97.23,80.1,-98.33,1>2,,,l,,x,,,1st Cooling,90.9
1-EBT-PE-1_2,1.25,41.8,96.42,80.2,-96.25,1>2,,,l,,x,,,1st Cooling,90.9
1-EBT-PE-1_3,1.07,41.93,97.22,80.8,-100.5,1≤2,,,l,,x,,,1st Cooling,91.1
1-EBT-PE-1_4,1.16,41.98,96.5,80.5,-99.38,1≤2,,,l,,x,,,1st Cooling,90.4
1-EBT-PE-1_5,1.16,41.6,97.28,80.1,-98.54,1>2,,,l,,x,,,1st Cooling,91.3
1-EBT-PE-2_1,1.44,41.2,97.52,81.1,-100,1≤2,,,l,,x,,,1st Cooling,91.6
1-EBT-PE-2_2,1.05,41.2,96.94,81.4,-101.8,1>2,,,l,,x,,,1st Cooling,91.2
1-EBT-PE-2_3,1.15,41.2,97.18,81.9,-100.3,1≤2,,,l,,x,,,1st Cooling,91.1
1-EBT-PE-2_4,1.27,41.2,97.51,81.5,-97.66,1≥2,,,l,,x,,,1st Cooling,91.8
1-EBT-PE-2_5,1.16,41.2,98.38,81.7,-98,1>2,,,l,,x,,,1st Cooling,91.8
1-EBT-PE-3_1,1.08,41.2,96.67,81.8,-102.3,1<2,,,l,,x,,,1st Cooling,91.1
1-EBT-PE-3_2,1.28,41.2,97.97,80.8,-100.9,1<2,,,l,,x,,,1st Cooling,91.6
1-EBT-PE-3_3,1.19,41.2,97.4,80.7,-102.9,1<2,,,l,,x,,,1st Cooling,91.8
1-EBT-PE-3_4,1.23,41.2,97.89,79.8,-98.85,1<2,,,l,,x,,,1st Cooling,91.8
1-EBT-PE-3_5,1.49,41.2,96.79,80.3,-100.9,1<2,,,l,,x,,,1st Cooling,91
1-EBT-PE-4_1,1.21,41.2,97.2,81,-100.2,1>2,,,l,,x,,,1st Cooling,90.6
1-EBT-PE-4_2,1.08,41.2,96.48,81.6,-99.52,1<2,,,l,,x,,,1st Cooling,91.2
1-EBT-PE-4_3,1.13,41.2,96.69,80.3,-98.86,1>2,,,l,,x,,,1st Cooling,91.2
1-EBT-PE-4_4,1.21,40.86,96.15,80.2,-96.88,1>2,,,l,,x,,,1st Cooling,90.2
1-EBT-PE-4_5,1.23,41.2,97.06,81.1,-98.36,1≥2,,,l,,x,,,1st Cooling,90.9
2-EBT-PE-1_1,1.15,40.1,95.53,79,-90.61,,,x,l,,,x,,1st Cooling,
2-EBT-PE-1_2,1.46,39.9,96.8,79.7,-88.78,,,x,l,,,x,,1st Cooling,
2-EBT-PE-1_3,1.23,40.3,97.6,78.9,-87.48,,,x,l,,,x,,1st Cooling,
2-EBT-PE-1_4,1.24,40.4,94.6,79.8,-89.72,,,x,l,,,x,,1st Cooling,
2-EBT-PE-1_5,1.45,40.3,96,79.2,-89.12,,,x,l,,,x,,1st Cooling,
2-EBT-PE-2_1,1.17,40.1,96.92,79.3,-90.64,,,x,l,,,x,,1st Cooling,
2-EBT-PE-2_2,1.35,40.1,96.09,79,-91.32,,,x,l,,,x,,1st Cooling,
2-EBT-PE-2_3,1.29,40.1,96.46,79.2,-89.59,,,x,l,,,x,,1st Cooling,
2-EBT-PE-2_4,1.2,40.1,96.04,79.6,-87.11,,,x,l,,,x,,1st Cooling,
2-EBT-PE-2_5,1.33,40.1,96.42,79.2,-90.3,,,x,l,,,x,,1st Cooling,
2-EBT-PE-3_1,1.1,40,95,79.5,-90.74,,,x,l,,,x,,1st Cooling,
2-EBT-PE-3_2,1.27,40,95.23,79,-89.91,,,x,l,,,x,,1st Cooling,
2-EBT-PE-3_3,1.3,40,96.38,79.6,-90.98,,,x,l,,,x,,1st Cooling,
2-EBT-PE-3_4,1.2,40,95.9,79.8,-89.55,,,x,l,,,x,,1st Cooling,
2-EBT-PE-3_5,1.22,40,96.34,80.1,-88.77,,,x,l,,,x,,1st Cooling,
2-EBT-PE-4_1,1.48,40.1,95.46,79,-89.66,,,x,l,,,x,,1st Cooling,
2-EBT-PE-4_2,1.47,40.1,96.08,79.8,-93.83,,,x,l,,,x,,1st Cooling,
2-EBT-PE-4_3,1.39,40.1,96.98,79,-91.08,,,x,l,,,x,,1st Cooling,
2-EBT-PE-4_4,1.31,40.1,96.05,79.5,-89.75,,,x,l,,,x,,1st Cooling,
2-EBT-PE-4_5,1.48,38.5,96.6,78.9,-90.14,,,x,l,,,x,,1st Cooling,
3-EBT-PE-1_1,1.24,38,95.8,79.1,-84.67,,,x,l,,,,,1st Cooling,
3-EBT-PE-1_2,1.27,38,95.7,78.5,-84.19,,,x,l,,,,,1st Cooling,
3-EBT-PE-1_3,1.34,38,95.24,78.5,-83.57,,,x,l,,,,,1st Cooling,
3-EBT-PE-1_4,1.37,38.1,95.8,79.1,-85.49,,,x,l,,,,,1st Cooling,
3-EBT-PE-1_5,1.17,39.4,97.8,78.5,-85.45,,,x,l,,,,,1st Cooling,
