Sample Name,Mass in mg,TStart in °C,TEnd in °C,Tc in °C,∆Hc in Jg-1,Peak Signal Characterisation_Bimodal,Peak Signal Characterisation_Sharp Monodal,Peak Signal Characterisation_Wide Monodal,Peak Signal Characterisation_Left Tail,Peak Signal Characterisation_Right Tail,Peak Signal Characterisation_Left Shoulder,Peak Signal Characterisation_Right Shoulder,Peak Signal Characterisation,Segment,"Tc,2 in °C"
1-EBT-PET-4_5,1.49,158.5,201.92,189.5,-39.03,,,x,s,,,,,1st Cooling,
2-EBT-PET-1_1,1.5,158.5,205.1,190.1,-42.18,,,x,s,,,,,1st Cooling,
2-EBT-PET-1_2,1.44,159,203.63,190,-40.95,,,x,s,,,,,1st Cooling,
2-EBT-PET-1_3,1.49,160.5,202.79,191.2,-41.76,,,x,s,,,,,1st Cooling,
2-EBT-PET-1_4,1.24,159,206.83,190.4,-43.03,,,x,s,,,,,1st Cooling,
2-EBT-PET-1_5,1.3,159,205.98,191.1,-42.63,,,x,s,,,,,1st Cooling,
2-EBT-PET-2_1,1.46,160.1,206.41,191.5,-43.68,,,x,s,,,,,1st Cooling,
2-EBT-PET-2_2,1.45,160.11,206.41,190.6,-42.03,,,x,s,,,,,1st Cooling,
2-EBT-PET-2_3,1.27,160.1,207.7,191.6,-41.89,,,x,s,,,,,1st Cooling,
2-EBT-PET-2_4,1.38,160.1,206.68,191.2,-41.69,,,x,s,,,,,1st Cooling,
2-EBT-PET-2_5,1.35,160.1,206.45,190.9,-42.69,,,x,s,,,,,1st Cooling,
2-EBT-PET-3_1,1.43,160.5,206.6,190.4,-42.93,,,x,s,,,,,1st Cooling,
2-EBT-PET-3_2,1.46,160.5,206.6,190.7,-42.51,,,x,s,,,,,1st Cooling,
2-EBT-PET-3_3,1.51,160.5,206.6,192.1,-42.63,,,x,s,,,,,1st Cooling,
2-EBT-PET-3_4,1.19,160.5,206.6,191,-42.87,,,x,s,,,,,1st Cooling,
2-EBT-PET-3_5,1.23,160.5,207.03,189.9,-42.02,,,x,s,,,,,1st Cooling,
2-EBT-PET-4_1,1.33,160.6,206,191.2,-41.38,,,x,s,,,,,1st Cooling,
2-EBT-PET-4_2,1.45,160.6,206.07,190.8,-42.36,,,x,s,,,,,1st Cooling,
2-EBT-PET-4_3,1.44,160.6,206.43,190.6,-42.89,,,x,s,,,,,1st Cooling,
2-EBT-PET-4_4,1.49,160.6,206,191.1,-43.09,,,x,s,,,,,1st Cooling,
2-EBT-PET-4_5,1.44,160.44,206.17,191.6,-42.12,,,x,s,,,,,1st Cooling,
3-EBT-PET-1_1,1.41,157.9,205.18,190,-43.42,,,x,s,,x,x,,1st Cooling,
3-EBT-PET-1_2,1.16,158.23,205.297,190.1,-42.08,,,x,s,,x,,,1st Cooling,
3-EBT-PET-1_3,1.47,157.74,204.66,190.5,-44.69,,,x,s,,x,x,,1st Cooling,
3-EBT-PET-1_4,1.3,157.9,205.02,189.6,-42.41,,,x,s,,,,,1st Cooling,
3-EBT-PET-1_5,1.21,157.9,204.97,189.8,-43.44,,,x,s,,,,,1st Cooling,
3-EBT-PET-2_1,1.38,161.89,207,191.3,-43.16,,,x,s,,,,,1st Cooling,
3-EBT-PET-2_2,1.26,160.24,207.8,190.8,-44.84,,,x,s,,,,,1st Cooling,
3-EBT-PET-2_3,1.41,161.91,207.09,190.5,-43.37,,,x,s,,,,,1st Cooling,
3-EBT-PET-2_4,1.45,164.2,206.21,191.5,-42.69,,,x,s,,,,,1st Cooling,
3-EBT-PET-2_5,1.34,159.7,207.42,190.3,-44.7,,,x,s,,,,,1st Cooling,
3-EBT-PET-3_1,1.25,162.87,207.12,191,-44.41,,,x,s,,,,,1st Cooling,
3-EBT-PET-3_2,1.5,162.09,207.6,190,-43.76,,,x,s,,,,,1st Cooling,
3-EBT-PET-3_3,1.49,161.49,207.6,190.5,-43.82,,,x,s,,,,,1st Cooling,
3-EBT-PET-3_4,1.26,161.78,207.11,191.5,-41.56,,,x,s,,,,,1st Cooling,
3-EBT-PET-3_5,1.23,164.09,206.5,190,-48.57,,,x,s,,,,,1st Cooling,
3-EBT-PET-4_1,1.18,163.2,208.05,188.5,-41.04,,,x,s,,,,,1st Cooling,
3-EBT-PET-4_2,1.27,163.2,208.5,189.6,-43.18,,,x,s,,,,,1st Cooling,
3-EBT-PET-4_3,1.3,162.8,207.63,190.2,-43.28,,,x,s,,,,,1st Cooling,
3-EBT-PET-4_4,1.21,163.2,208.39,190.4,-42.31,,,x,s,,,,,1st Cooling,
3-EBT-PET-4_5,1.15,161.9,208.29,189.5,-43.27,,,x,s,,,,,1st Cooling,
