Sample Name,Name of Original DSC Measurement,Mass in mg,∆Hm in Jg-1,Segment,TStart in °C,TEnd in °C,Tm in °C,Peak Signal Characterisation_Bimodal,Peak Signal Characterisation_Sharp Monodal,Peak Signal Characterisation_Wide Monodal,Peak Signal Characterisation_Left Tail,Peak Signal Characterisation_Right Tail,Peak Signal Characterisation_Left Shoulder,Peak Signal Characterisation_Right Shoulder,Peak Signal Characterisation,Peak Signal Characterisation_Quasibimodal,Aging Level
0-PET-4_4,0-PET-24,1.29,28.81,2nd Heating,203.86,252.52,230.3,x,0,0,x,0.0,0,0.0,1<2,0,Pristine LDPE and PET
0-PET-4_5,0-PET-25,1.42,29.82,2nd Heating,203.7,253.95,230.3,x,0,0,x,0.0,0,0.0,1<2,0,Pristine LDPE and PET
1-UV-PE-1_1,UV-PE-61,1.27,108.4,2nd Heating,59.0,120.76,107.5,0,x,0,l,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PE-1_2,UV-PE-62,1.41,107.0,2nd Heating,59.9,118.34,107.6,0,x,0,l,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PE-1_3,UV-PE-63,1.28,108.7,2nd Heating,59.0,119.5,107.4,0,x,0,l,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PE-1_4,UV-PE-64,1.5,109.3,2nd Heating,58.8,118.55,107.8,0,x,0,l,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PE-1_5,UV-PE-65,1.06,104.1,2nd Heating,58.8,120.78,106.8,0,x,0,l,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PE-2_1,UV-PE-66,1.36,106.7,2nd Heating,60.9,118.17,107.5,0,x,0,l,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PE-2_2,UV-PE-67,1.25,107.9,2nd Heating,58.57,119.7,107.6,0,x,0,l,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PE-2_3,UV-PE-68,1.49,107.0,2nd Heating,58.6,118.91,107.7,0,x,0,l,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PE-2_4,UV-PE-69,1.35,106.3,2nd Heating,61.55,119.23,107.8,0,x,0,l,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PE-2_5,UV-PE-70,1.4,105.9,2nd Heating,61.14,120.9,107.9,0,x,0,l,0.0,0,0.0,0,0,First UV-cycle (4 weeks irradiation)
