Sample Name,Name of Original DSC Measurement,Mass in mg,∆Hm in Jg-1,Segment,Polymer,TStart in °C,TEnd in °C,Tm in °C,Tm,Hm,Modality,Tail,Shoulder,Aging Level
1-UV-PET-4_5,UV-PET-78,1.13,35.32,2nd Heating,PET,205.6,257.4,232.9,233,6.40696,bimodal,left,undefined,First UV-cycle (4 weeks irradiation)
2-UV-PET-1_1,UV-PET-21,1.28,34.39,2nd Heating,PET,207.9,256.9,234.4,234,2.50301,bimodal,left,undefined,Second UV-cycle (8 weeks irradiation)
2-UV-PET-1_2,UV-PET-22,1.4,36.05,2nd Heating,PET,207.9,256.6,234.5,234,2.70095,bimodal,left,undefined,Second UV-cycle (8 weeks irradiation)
2-UV-PET-1_3,UV-PET-23,1.27,34.95,2nd Heating,PET,207.9,257.0,234.4,234,2.80373,bimodal,left,undefined,Second UV-cycle (8 weeks irradiation)
2-UV-PET-1_4,UV-PET-24,1.33,34.65,2nd Heating,PET,207.9,256.6,234.4,234,2.59952,bimodal,left,undefined,Second UV-cycle (8 weeks irradiation)
2-UV-PET-1_5,UV-PET-25,1.33,33.77,2nd Heating,PET,207.9,256.3,234.1,234,2.60985,bimodal,left,undefined,Second UV-cycle (8 weeks irradiation)
2-UV-PET-2_1,UV-PET-26,1.14,35.65,2nd Heating,PET,206.3,255.7,234.4,234,2.5347,bimodal,left,undefined,Second UV-cycle (8 weeks irradiation)
2-UV-PET-2_2,UV-PET-27,1.34,35.14,2nd Heating,PET,206.3,256.1,234.2,234,2.58503,bimodal,left,undefined,Second UV-cycle (8 weeks irradiation)
2-UV-PET-2_3,UV-PET-28,1.35,35.61,2nd Heating,PET,206.3,255.9,234.2,234,2.69828,bimodal,left,undefined,Second UV-cycle (8 weeks irradiation)
2-UV-PET-2_4,UV-PET-29,1.24,34.94,2nd Heating,PET,206.3,257.1,233.7,234,2.51843,bimodal,left,undefined,Second UV-cycle (8 weeks irradiation)
2-UV-PET-2_5,UV-PET-30,1.29,34.95,2nd Heating,PET,206.3,256.7,234.0,234,2.77379,bimodal,left,undefined,Second UV-cycle (8 weeks irradiation)
2-UV-PET-3_1,UV-PET-31,1.42,35.6,2nd Heating,PET,205.7,255.26,234.3,234,2.56213,bimodal,left,undefined,Second UV-cycle (8 weeks irradiation)
2-UV-PET-3_2,UV-PET-32,1.26,35.02,2nd Heating,PET,205.7,254.86,233.8,234,2.86091,bimodal,left,undefined,Second UV-cycle (8 weeks irradiation)
2-UV-PET-3_3,UV-PET-33,1.28,34.56,2nd Heating,PET,205.7,254.66,233.5,234,2.72638,bimodal,left,undefined,Second UV-cycle (8 weeks irradiation)
2-UV-PET-3_4,UV-PET-34,1.46,34.86,2nd Heating,PET,205.7,253.6,233.7,234,2.86634,bimodal,left,undefined,Second UV-cycle (8 weeks irradiation)
2-UV-PET-3_5,UV-PET-35,1.12,33.59,2nd Heating,PET,205.7,254.95,233.9,234,2.90996,bimodal,left,undefined,Second UV-cycle (8 weeks irradiation)
2-UV-PET-4_1,UV-PET-36,1.19,35.31,2nd Heating,PET,204.0,255.95,234.2,234,2.80058,bimodal,left,undefined,Second UV-cycle (8 weeks irradiation)
2-UV-PET-4_2,UV-PET-37,1.39,36.07,2nd Heating,PET,204.0,254.92,234.2,234,2.76898,bimodal,left,undefined,Second UV-cycle (8 weeks irradiation)
2-UV-PET-4_3,UV-PET-38,1.35,35.48,2nd Heating,PET,204.0,256.7,233.2,233,2.67289,bimodal,left,undefined,Second UV-cycle (8 weeks irradiation)
2-UV-PET-4_4,UV-PET-76,1.45,35.78,2nd Heating,PET,204.4,255.7,232.3,232,5.61004,bimodal,left,undefined,Second UV-cycle (8 weeks irradiation)
2-UV-PET-4_5,UV-PET-77,1.44,37.17,2nd Heating,PET,204.4,255.49,234.1,234,5.50795,bimodal,left,undefined,Second UV-cycle (8 weeks irradiation)
3-UV-PET-1_1,UV-PET-41,1.34,36.22,2nd Heating,PET,207.16,255.11,234.8,235,7.23837,bimodal,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PET-1_2,UV-PET-42,1.21,34.85,2nd Heating,PET,207.65,254.94,233.4,233,8.20822,bimodal,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PET-1_3,UV-PET-43,1.47,35.51,2nd Heating,PET,205.53,255.47,233.1,233,6.61948,bimodal,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PET-1_4,UV-PET-44,1.27,35.16,2nd Heating,PET,206.13,256.18,234.3,234,8.25137,bimodal,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PET-1_5,UV-PET-45,1.27,35.75,2nd Heating,PET,205.37,255.01,232.2,232,7.83473,bimodal,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PET-2_1,UV-PET-46,1.3,34.84,2nd Heating,PET,207.1,253.43,233.9,234,7.86924,bimodal,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PET-2_2,UV-PET-47,1.45,35.61,2nd Heating,PET,207.3,253.66,231.7,232,7.25772,bimodal,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PET-2_3,UV-PET-48,1.17,35.71,2nd Heating,PET,206.47,253.99,232.4,232,8.02778,bimodal,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PET-2_4,UV-PET-49,1.27,35.01,2nd Heating,PET,205.1,253.95,232.9,233,7.8059,bimodal,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PET-2_5,UV-PET-50,1.53,33.93,2nd Heating,PET,205.72,253.84,232.8,233,6.701,bimodal,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PET-3_1,UV-PET-51,1.53,35.5,2nd Heating,PET,207.5,256.52,233.9,234,6.77263,bimodal,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PET-3_2,UV-PET-52,1.42,34.4,2nd Heating,PET,207.45,256.33,235.2,235,7.42658,bimodal,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PET-3_3,UV-PET-53,1.48,34.1,2nd Heating,PET,207.4,255.51,230.7,231,7.17297,bimodal,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PET-3_4,UV-PET-54,1.41,33.23,2nd Heating,PET,207.65,254.24,232.5,232,7.08221,bimodal,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PET-3_5,UV-PET-55,1.37,34.45,2nd Heating,PET,207.25,253.76,233.3,233,7.6785,bimodal,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PET-4_1,UV-PET-56,1.46,36.11,2nd Heating,PET,206.6,257.03,233.2,233,7.0456,bimodal,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PET-4_2,UV-PET-57,1.23,37.38,2nd Heating,PET,205.93,256.64,233.5,234,8.27704,bimodal,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PET-4_3,UV-PET-58,1.39,32.78,2nd Heating,PET,205.92,255.85,233.7,234,7.37729,bimodal,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PET-4_4,UV-PET-59,1.38,35.94,2nd Heating,PET,206.6,258.81,233.9,234,7.4306,bimodal,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PET-4_5,UV-PET-60,1.33,34.34,2nd Heating,PET,206.28,255.84,233.8,234,7.57067,bimodal,left,undefined,Third UV-cycle (12 weks irradiation)
1-EBT-PET-1_1,eb-PET-67,1.24,33.08,2nd Heating,PET,202.12,254.05,230.2,230,5.80635,bimodal,left,undefined,First EBT
1-EBT-PET-1_2,eb-PET-68,1.31,33.94,2nd Heating,PET,202.2,255.8,230.6,231,5.62275,bimodal,left,undefined,First EBT
1-EBT-PET-1_3,eb-PET-69,1.16,35.2,2nd Heating,PET,202.01,253.44,231.6,232,6.08236,bimodal,left,undefined,First EBT
1-EBT-PET-1_4,eb-PET-70,1.36,32.65,2nd Heating,PET,203.46,256.2,229.7,230,5.55961,bimodal,left,undefined,First EBT
1-EBT-PET-1_5,eb-PET-71,1.38,37.31,2nd Heating,PET,203.56,255.99,232.3,232,5.38313,bimodal,left,undefined,First EBT
1-EBT-PET-2_1,eb-PET-72,1.3,34.07,2nd Heating,PET,203.63,253.48,230.8,231,5.88048,bimodal,left,undefined,First EBT
1-EBT-PET-2_2,eb-PET-73,1.46,34.92,2nd Heating,PET,203.37,251.68,231.5,232,5.56269,bimodal,left,undefined,First EBT
