Sample Name,Name of Original DSC Measurement,Aging Level
2-UV-PE-3_3,UV-PE-33,Second UV-cycle (8 weeks irradiation)
2-UV-PE-3_4,UV-PE-34,Second UV-cycle (8 weeks irradiation)
2-UV-PE-3_5,UV-PE-35,Second UV-cycle (8 weeks irradiation)
2-UV-PE-4_1,UV-PE-36,Second UV-cycle (8 weeks irradiation)
2-UV-PE-4_2,UV-PE-37,Second UV-cycle (8 weeks irradiation)
2-UV-PE-4_3,UV-PE-38,Second UV-cycle (8 weeks irradiation)
2-UV-PE-4_4,UV-PE-39,Second UV-cycle (8 weeks irradiation)
2-UV-PE-4_5,UV-PE-40,Second UV-cycle (8 weeks irradiation)
2-UV-PET-1_1,UV-PET-21,Second UV-cycle (8 weeks irradiation)
2-UV-PET-1_2,UV-PET-22,Second UV-cycle (8 weeks irradiation)
2-UV-PET-1_3,UV-PET-23,Second UV-cycle (8 weeks irradiation)
2-UV-PET-1_4,UV-PET-24,Second UV-cycle (8 weeks irradiation)
2-UV-PET-1_5,UV-PET-25,Second UV-cycle (8 weeks irradiation)
2-UV-PET-2_1,UV-PET-26,Second UV-cycle (8 weeks irradiation)
2-UV-PET-2_2,UV-PET-27,Second UV-cycle (8 weeks irradiation)
2-UV-PET-2_3,UV-PET-28,Second UV-cycle (8 weeks irradiation)
2-UV-PET-2_4,UV-PET-29,Second UV-cycle (8 weeks irradiation)
2-UV-PET-2_5,UV-PET-30,Second UV-cycle (8 weeks irradiation)
2-UV-PET-3_1,UV-PET-31,Second UV-cycle (8 weeks irradiation)
2-UV-PET-3_2,UV-PET-32,Second UV-cycle (8 weeks irradiation)
2-UV-PET-3_3,UV-PET-33,Second UV-cycle (8 weeks irradiation)
2-UV-PET-3_4,UV-PET-34,Second UV-cycle (8 weeks irradiation)
2-UV-PET-3_5,UV-PET-35,Second UV-cycle (8 weeks irradiation)
2-UV-PET-4_1,UV-PET-36,Second UV-cycle (8 weeks irradiation)
2-UV-PET-4_2,UV-PET-37,Second UV-cycle (8 weeks irradiation)
2-UV-PET-4_3,UV-PET-38,Second UV-cycle (8 weeks irradiation)
2-UV-PET-4_4,UV-PET-76,Second UV-cycle (8 weeks irradiation)
2-UV-PET-4_5,UV-PET-77,Second UV-cycle (8 weeks irradiation)
3-UV-PE-1_1,UV-PE-41,Third UV-cycle (12 weks irradiation)
3-UV-PE-1_2,UV-PE-42,Third UV-cycle (12 weks irradiation)
3-UV-PE-1_3,UV-PE-43,Third UV-cycle (12 weks irradiation)
3-UV-PE-1_4,UV-PE-44,Third UV-cycle (12 weks irradiation)
3-UV-PE-1_5,UV-PE-45,Third UV-cycle (12 weks irradiation)
3-UV-PE-2_1,UV-PE-46,Third UV-cycle (12 weks irradiation)
3-UV-PE-2_2,UV-PE-47,Third UV-cycle (12 weks irradiation)
3-UV-PE-2_3,UV-PE-48,Third UV-cycle (12 weks irradiation)
3-UV-PE-2_4,UV-PE-49,Third UV-cycle (12 weks irradiation)
3-UV-PE-2_5,UV-PE-50,Third UV-cycle (12 weks irradiation)
3-UV-PE-3_1,UV-PE-51,Third UV-cycle (12 weks irradiation)
3-UV-PE-3_2,UV-PE-52,Third UV-cycle (12 weks irradiation)
3-UV-PE-3_3,UV-PE-53,Third UV-cycle (12 weks irradiation)
3-UV-PE-3_4,UV-PE-54,Third UV-cycle (12 weks irradiation)
3-UV-PE-3_5,UV-PE-55,Third UV-cycle (12 weks irradiation)
3-UV-PE-4_1,UV-PE-56,Third UV-cycle (12 weks irradiation)
3-UV-PE-4_2,UV-PE-57,Third UV-cycle (12 weks irradiation)
3-UV-PE-4_3,UV-PE-58,Third UV-cycle (12 weks irradiation)
3-UV-PE-4_4,UV-PE-59,Third UV-cycle (12 weks irradiation)
3-UV-PE-4_5,UV-PE-60,Third UV-cycle (12 weks irradiation)
3-UV-PET-1_1,UV-PET-41,Third UV-cycle (12 weks irradiation)
3-UV-PET-1_2,UV-PET-42,Third UV-cycle (12 weks irradiation)
3-UV-PET-1_3,UV-PET-43,Third UV-cycle (12 weks irradiation)
3-UV-PET-1_4,UV-PET-44,Third UV-cycle (12 weks irradiation)
3-UV-PET-1_5,UV-PET-45,Third UV-cycle (12 weks irradiation)
3-UV-PET-2_1,UV-PET-46,Third UV-cycle (12 weks irradiation)
3-UV-PET-2_2,UV-PET-47,Third UV-cycle (12 weks irradiation)
3-UV-PET-2_3,UV-PET-48,Third UV-cycle (12 weks irradiation)
3-UV-PET-2_4,UV-PET-49,Third UV-cycle (12 weks irradiation)
