Sample Name,Name of Original DSC Measurement,Mass in mg,∆Hc in Jg-1,Segment,TStart in °C,TEnd in °C,Tc in °C,Peak Signal Characterisation_Bimodal,Peak Signal Characterisation_Sharp Monodal,Peak Signal Characterisation_Wide Monodal,Peak Signal Characterisation_Left Tail,Peak Signal Characterisation_Right Tail,Peak Signal Characterisation_Left Shoulder,Peak Signal Characterisation_Right Shoulder,Peak Signal Characterisation,Aging Level
1-UV-PE-1_2,UV-PE-62,1.41,-124.1,1st Cooling,36.0,100.21,94.3,0,x,0,l,0,x,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PE-1_3,UV-PE-63,1.28,-122.6,1st Cooling,36.0,99.39,94.0,0,x,0,l,0,x,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PE-1_4,UV-PE-64,1.5,-123.4,1st Cooling,36.0,99.27,94.4,0,x,0,l,0,x,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PE-1_5,UV-PE-65,1.06,-119.0,1st Cooling,36.0,98.92,93.9,0,x,0,l,0,x,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PE-2_1,UV-PE-66,1.36,-122.3,1st Cooling,36.0,99.1,94.2,0,x,0,l,0,x,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PE-2_2,UV-PE-67,1.25,-121.8,1st Cooling,36.0,100.27,94.2,0,x,0,l,0,x,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PE-2_3,UV-PE-68,1.49,-119.8,1st Cooling,36.0,99.76,94.2,0,x,0,l,0,x,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PE-2_4,UV-PE-69,1.35,-123.6,1st Cooling,36.0,99.62,94.2,0,x,0,l,0,x,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PE-2_5,UV-PE-70,1.4,-121.9,1st Cooling,36.0,99.59,94.2,0,x,0,l,0,x,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PE-3_1,UV-PE-71,1.37,-123.0,1st Cooling,35.7,99.57,94.2,0,x,0,l,0,x,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PE-3_2,UV-PE-72,1.5,-122.8,1st Cooling,35.9,100.28,94.2,0,x,0,l,0,x,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PE-3_3,UV-PE-73,1.44,-120.6,1st Cooling,36.0,98.669,94.0,0,x,0,l,0,x,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PE-3_4,UV-PE-74,1.51,-123.2,1st Cooling,35.9,99.5,94.1,0,x,0,l,0,x,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PE-3_5,UV-PE-75,1.21,-123.0,1st Cooling,35.9,99.36,94.1,0,x,0,l,0,x,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PE-4_1,UV-PE-76,1.43,-120.21,1st Cooling,36.8,99.61,94.1,0,x,0,l,0,x,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PE-4_2,UV-PE-77,1.25,-116.6,1st Cooling,36.8,98.674,94.0,0,x,0,l,0,x,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PE-4_3,UV-PE-78,1.31,-118.7,1st Cooling,36.8,98.84,94.1,0,x,0,l,0,x,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PE-4_4,UV-PE-79,1.5,-119.5,1st Cooling,36.8,100.84,94.1,0,x,0,l,0,x,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PE-4_5,UV-PE-80,1.44,-121.1,1st Cooling,36.8,100.27,94.1,0,x,0,l,0,x,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-1_1,UV-PET-1,1.38,-41.2,1st Cooling,159.1,205.4,194.1,0,0,x,s,0,0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-1_2,UV-PET-2,1.32,-41.25,1st Cooling,159.1,205.4,194.1,0,0,x,s,0,0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-1_3,UV-PET-3,1.56,-41.86,1st Cooling,159.1,205.4,194.1,0,0,x,s,0,0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-1_4,UV-PET-4,1.41,-41.03,1st Cooling,159.1,205.4,194.1,0,0,x,s,0,0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-1_5,UV-PET-5,1.31,-40.33,1st Cooling,159.1,205.4,193.8,0,0,x,s,0,0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-2_1,UV-PET-6,1.22,-40.84,1st Cooling,161.7,205.9,194.7,0,0,x,s,0,0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-2_2,UV-PET-7,1.17,-41.28,1st Cooling,161.7,205.9,193.8,0,0,x,s,0,0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-2_3,UV-PET-8,1.34,-38.46,1st Cooling,162.3,205.2,194.1,0,0,x,s,0,0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-2_4,UV-PET-9,1.26,-40.55,1st Cooling,162.4,205.9,194.7,0,0,x,s,0,0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-2_5,UV-PET-79,1.19,-40.46,1st Cooling,161.3,208.5,193.8,0,0,x,s,0,0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-3_1,UV-PET-11,1.38,-41.14,1st Cooling,163.0,205.1,193.5,0,0,x,s,0,0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-3_2,UV-PET-12,1.51,-41.03,1st Cooling,164.3,205.6,194.1,0,0,x,s,0,0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-3_3,UV-PET-13,1.53,-41.38,1st Cooling,163.0,206.1,194.6,0,0,x,s,0,0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-3_4,UV-PET-14,1.38,-40.29,1st Cooling,163.0,205.4,193.8,0,0,x,s,0,0,0,0,First UV-cycle (4 weeks irradiation)
1-UV-PET-3_5,UV-PET-15,1.31,-40.15,1st Cooling,162.0,205.2,193.8,0,0,x,s,0,0,0,0,First UV-cycle (4 weeks irradiation)
