Sample Name,Mass in mg,TStart in °C,TEnd in °C,Tm in °C,∆Hm in Jg-1,Peak Signal Characterisation_Bimodal,Peak Signal Characterisation_Sharp Monodal,Peak Signal Characterisation_Wide Monodal,Peak Signal Characterisation_Left Tail,Peak Signal Characterisation_Right Tail,Peak Signal Characterisation_Left Shoulder,Peak Signal Characterisation_Right Shoulder,Peak Signal Characterisation,Segment,"Tm,2 in °C",Peak Signal Characterisation_Quasibimodal
1-UV-PE-1_4,1.5,58.8,118.55,107.8,109.3,,x,,l,,,,,2nd Heating,,
1-UV-PE-1_5,1.06,58.8,120.78,106.8,104.1,,x,,l,,,,,2nd Heating,,
1-UV-PE-2_1,1.36,60.9,118.17,107.5,106.7,,x,,l,,,,,2nd Heating,,
1-UV-PE-2_2,1.25,58.57,119.7,107.6,107.9,,x,,l,,,,,2nd Heating,,
1-UV-PE-2_3,1.49,58.6,118.91,107.7,107,,x,,l,,,,,2nd Heating,,
1-UV-PE-2_4,1.35,61.55,119.23,107.8,106.3,,x,,l,,,,,2nd Heating,,
1-UV-PE-2_5,1.4,61.14,120.9,107.9,105.9,,x,,l,,,,,2nd Heating,,
1-UV-PE-3_1,1.37,59.2,119.09,107.9,109,,x,,l,,,,,2nd Heating,,
1-UV-PE-3_2,1.5,59,119.858,107.9,108.7,,x,,l,,,,,2nd Heating,,
1-UV-PE-3_3,1.44,59.2,119.54,108,106.5,,x,,l,,,,,2nd Heating,,
1-UV-PE-3_4,1.51,59.2,118.61,107.9,107.6,,x,,l,,,,,2nd Heating,,
1-UV-PE-3_5,1.21,59.43,119.08,107.4,108,,x,,l,,,,,2nd Heating,,
1-UV-PE-4_1,1.43,60.7,120.33,107.8,106.36,,x,,l,,,,,2nd Heating,,
1-UV-PE-4_2,1.25,59,119.18,107.5,104.7,,x,,l,,,,,2nd Heating,,
1-UV-PE-4_3,1.31,59.3,118.32,107.7,105.5,,x,,l,,,,,2nd Heating,,
1-UV-PE-4_4,1.5,60.7,118.66,107.8,104.5,,x,,l,,,,,2nd Heating,,
1-UV-PE-4_5,1.44,61.6,118.3,107.8,105.3,,x,,l,,,,,2nd Heating,,
2-UV-PE-1_1,1.2,58,120.91,110.6,114.3,,x,,l,,x,,,1st Heating,,
2-UV-PE-1_2,1.42,58,119.35,110.9,113.6,,x,,l,,x,,,1st Heating,,
2-UV-PE-1_3,1.35,58,120.3,111,113.5,,x,,l,,x,,,1st Heating,,
2-UV-PE-1_4,1.27,58,121.79,110.8,111.9,,x,,l,,x,,,1st Heating,,
2-UV-PE-1_5,1.5,58,120.81,110.6,114.5,,x,,l,,x,,,1st Heating,,
2-UV-PE-2_1,1.11,58,117.5,110.4,112.7,,x,,l,,x,,,1st Heating,,
2-UV-PE-2_2,1.27,58,119.74,110.3,111.9,,x,,l,,x,,,1st Heating,,
2-UV-PE-2_3,1.44,58,120.37,110.8,113.5,,x,,l,,x,,,1st Heating,,
2-UV-PE-2_4,1.34,58,120.55,111,112.6,,x,,l,,x,,,1st Heating,,
2-UV-PE-2_5,1.49,58,119.82,110.6,113.6,,x,,l,,x,,,1st Heating,,
2-UV-PE-3_1,1.12,58,118.06,110.2,113.2,,x,,l,,x,,,1st Heating,,
2-UV-PE-3_2,1.46,58,120.44,110.6,110.5,,x,,l,,x,,,1st Heating,,
2-UV-PE-3_3,1.46,58.07,120.92,110.6,111.9,,x,,l,,x,,,1st Heating,,
2-UV-PE-3_4,1.16,58,118.71,110.7,114.4,,x,,l,,x,,,1st Heating,,
2-UV-PE-3_5,1.19,58,118.76,110.4,111.5,,x,,l,,x,,,1st Heating,,
2-UV-PE-4_1,1.21,58,119.44,111,111,,x,,x,,x,,,1st Heating,,
2-UV-PE-4_2,1.28,58,120.195,110.7,112.1,,x,,x,,x,,,1st Heating,,
2-UV-PE-4_3,1.45,58,120.32,110.8,114.9,,x,,x,,x,,,1st Heating,,
2-UV-PE-4_4,1.16,58,119.41,110.7,114.7,,x,,x,,x,,,1st Heating,,
2-UV-PE-4_5,1.17,58,118.52,110.4,115,,x,,x,,x,,,1st Heating,,
