Sample Name,Mass in mg,TStart in °C,TEnd in °C,Tm in °C,∆Hm in Jg-1,Peak Signal Characterisation_Bimodal,Peak Signal Characterisation_Sharp Monodal,Peak Signal Characterisation_Wide Monodal,Peak Signal Characterisation_Left Tail,Peak Signal Characterisation_Right Tail,Peak Signal Characterisation_Left Shoulder,Peak Signal Characterisation_Right Shoulder,Peak Signal Characterisation,Segment,"Tm,2 in °C",Peak Signal Characterisation_Quasibimodal
3-EBT-PE-4_5,1.34,65.8,111.7,99.4,90.66,,,x,l,,,,,1st Heating,,
3-EBT-PE-1_1,1.24,50.4,108.18,92.3,73.14,,,x,s,,,,,2nd Heating,,
3-EBT-PE-1_2,1.27,51.31,110.4,93.2,73.73,,,x,s,,,,,2nd Heating,,
3-EBT-PE-1_3,1.34,50.52,110.36,92,72.46,,,x,s,,,,,2nd Heating,,
3-EBT-PE-1_4,1.37,50.63,109.56,93.2,75.4,,,x,s,,,,,2nd Heating,,
3-EBT-PE-1_5,1.31,53.7,109.6,93.5,75.83,,,x,s,,,,,2nd Heating,,
3-EBT-PE-1_σ in %,4.000719901259768,2.691031764157921,0.8202067795288809,0.7005434098022032,1.9588558171096029,,,,,,,,,2nd Heating,,
3-EBT-PE-2_1,1.47,52.7,110.01,93.6,75.32,,,x,s,,,,,2nd Heating,,
3-EBT-PE-2_2,1.25,52.7,110.12,93.5,75.64,,,x,s,,,,,2nd Heating,,
3-EBT-PE-2_3,1.28,54,111.56,93,75.08,,,x,s,,,,,2nd Heating,,
3-EBT-PE-2_4,1.43,54,109.78,93.1,75.37,,,x,s,,,,,2nd Heating,,
3-EBT-PE-2_5,1.5,54.62,109.19,93.3,75.53,,,x,s,,,,,2nd Heating,,
3-EBT-PE-3_1,1.18,52.7,110.75,93.4,75.17,,,x,s,,,,,2nd Heating,,
3-EBT-PE-3_2,1.29,53.1,112.4,93.9,74.76,,,x,s,,,,,2nd Heating,,
3-EBT-PE-3_3,1.44,52.9,109.73,94.1,74.84,,,x,s,,,,,2nd Heating,,
3-EBT-PE-3_4,1.34,53.3,112.4,93.3,75.85,,,x,s,,,,,2nd Heating,,
3-EBT-PE-3_5,1.37,54.2,109.64,93.5,73.48,,,x,s,,,,,2nd Heating,,
3-EBT-PE-4_1,1.34,52.5,111.68,93.4,75.67,,,x,s,,,,,2nd Heating,,
3-EBT-PE-4_2,1.38,55,109.08,93.6,74.97,,,x,s,,,,,2nd Heating,,
3-EBT-PE-4_3,1.35,55,112.292,93.2,75.39,,,x,s,,,,,2nd Heating,,
3-EBT-PE-4_4,1.36,54.6,112.9,93.4,72.86,,,x,s,,,,,2nd Heating,,
3-EBT-PE-4_5,1.34,54.5,110.33,94,74.65,,,x,s,,,,,2nd Heating,,
0-PET-1_1,1.44,215,255.1,244.6,32.03,,,x,x,,,,,1st Heating,,
0-PET-1_2,1.35,215,255.14,244.9,32.51,,,x,x,,,,,1st Heating,,
0-PET-1_3,1.39,215,255.01,244.7,33.5,,,x,x,,,,,1st Heating,,
0-PET-1_4,1.28,215,255.24,243.7,30.47,,,x,x,,,,,1st Heating,,
0-PET-1_5,1.34,215,255.41,244.8,32.94,,,x,x,,,,,1st Heating,,
0-PET-2_1,1.42,214.53,256.169,243.7,32.58,,,x,x,,,,,1st Heating,,
0-PET-2_2,1.08,215,256.88,242.1,30.39,,,x,x,,,,,1st Heating,,
0-PET-2_3,1.33,215.1,257.5,243.2,31.32,,,x,x,,,,,1st Heating,,
0-PET-2_4,1.39,214.69,257.4,244.2,31.14,,,x,x,,,,,1st Heating,,
0-PET-2_5,1.29,214.6,258.42,244.2,32.61,,,x,x,,,,,1st Heating,,
0-PET-3_1,1.33,215.33,256.4,244,32.53,,,x,x,,,,,1st Heating,,
0-PET-3_2,1.42,215.04,255.91,243.4,32.8,,,x,x,,,,,1st Heating,,
0-PET-3_3,1.43,215,256.25,243.8,33.04,,,x,x,,,,,1st Heating,,
0-PET-3_4,1.28,215.37,254.53,243.7,31.3,,,x,x,,,,,1st Heating,,
0-PET-3_5,1.26,215,255.61,243.7,31.94,,,x,x,,,,,1st Heating,,
0-PET-4_1,1.16,214.7,255.34,244.3,32.6,,,x,x,,,,,1st Heating,,
0-PET-4_2,1.17,215.08,256.62,244.2,30.83,,,x,x,,,,,1st Heating,,
0-PET-4_3,1.16,215.6,258.8,243.5,32.11,,,x,x,,,,,1st Heating,,
0-PET-4_4,1.29,214.7,255.89,244.6,31.79,,,x,x,,,,,1st Heating,,
0-PET-4_5,1.42,214.7,259.1,243.9,32.06,,,x,x,,,,,1st Heating,,
0-PET-1_1,1.44,200,253.77,230.2,28.88,x,,,x,,,,1<2,2nd Heating,240.2,
0-PET-1_2,1.35,200.79,256.3,230.5,30.34,x,,,x,,,,1<2,2nd Heating,240.6,
0-PET-1_3,1.39,200,254.25,229.8,30,x,,,x,,,,1<2,2nd Heating,240.3,
0-PET-1_4,1.28,200,254.59,230.2,29.29,x,,,x,,,,1<2,2nd Heating,240.2,
0-PET-1_5,1.34,200,255.31,229.7,31.94,x,,,x,,,,1<2,2nd Heating,240.1,
0-PET-2_1,1.42,197.73,251.2,231.7,28.06,x,,,x,,,,1<2,2nd Heating,240.5,
0-PET-2_2,1.08,201.21,251.22,231.1,26.2,x,,,x,,,,1<2,2nd Heating,239.8,
0-PET-2_3,1.33,199.86,252.59,230.8,28.07,x,,,x,,,,1<2,2nd Heating,239.8,
0-PET-2_4,1.39,199.64,251.15,229.8,26.33,x,,,x,,,,1<2,2nd Heating,240,
0-PET-2_5,1.29,199.1,251.15,228.7,28.25,x,,,x,,,,1<2,2nd Heating,239.6,
0-PET-3_1,1.33,203.02,252.13,230.7,29.16,x,,,x,,,,1<2,2nd Heating,239.9,
0-PET-3_2,1.42,201.78,250.53,230.7,29.19,x,,,x,,,,1<2,2nd Heating,239.7,
0-PET-3_3,1.43,200.56,252.82,230.9,29.46,x,,,x,,,,1<2,2nd Heating,239.6,
0-PET-3_4,1.28,203.79,253.83,230.9,28.78,x,,,x,,,,1<2,2nd Heating,240.3,
0-PET-3_5,1.26,200.22,252.53,230.8,30.23,x,,,x,,,,1<2,2nd Heating,240.3,
0-PET-4_1,1.16,205.48,251.33,230.3,28.3,x,,,x,,,,1<2,2nd Heating,239.8,
0-PET-4_2,1.17,203.7,251.66,228.7,27.74,x,,,x,,,,1<2,2nd Heating,239.7,
0-PET-4_3,1.16,204.8,252.3,231.4,27.82,x,,,x,,,,1<2,2nd Heating,240.2,
0-PET-4_4,1.29,203.86,252.52,230.3,28.81,x,,,x,,,,1<2,2nd Heating,240.2,
0-PET-4_5,1.42,203.7,253.95,230.3,29.82,x,,,x,,,,1<2,2nd Heating,240.6,
1-UV-PET-1_1,1.38,207.9,256.3,244.4,36.99,,,x,s,,,,,1st Heating,,
1-UV-PET-1_2,1.32,208.6,257.7,245.2,36.01,,,x,s,,,,,1st Heating,,
1-UV-PET-1_3,1.56,204.9,256.5,244.7,37.04,,,x,s,,,,,1st Heating,,
1-UV-PET-1_4,1.41,201.9,256.5,244.7,38.46,,,x,s,,,,,1st Heating,,
1-UV-PET-1_5,1.31,201.7,255.1,244.1,37.15,,,x,s,,,,,1st Heating,,
1-UV-PET-2_1,1.22,215.8,255,244.2,35.93,,,x,s,,,,,1st Heating,,
1-UV-PET-2_2,1.17,209.8,258.5,244.6,37.09,,,x,s,,,,,1st Heating,,
1-UV-PET-2_3,1.34,209.7,259.9,244.1,35.51,,,x,s,,,,,1st Heating,,
1-UV-PET-2_4,1.26,207.5,256,244.9,37.36,,,x,s,,,,,1st Heating,,
1-UV-PET-2_5,1.19,209.94,255.3,243.7,36.86,,,x,s,,,,,1st Heating,,
1-UV-PET-3_1,1.38,217.1,257.6,244,35.75,,,x,s,,,,,1st Heating,,
1-UV-PET-3_2,1.51,215.5,259.6,243.2,35.28,,,x,s,,,,,1st Heating,,
1-UV-PET-3_3,1.53,217.1,256.5,244.2,36,,,x,s,,,,,1st Heating,,
1-UV-PET-3_4,1.38,215.9,257,244.2,35.72,,,x,s,,,,,1st Heating,,
1-UV-PET-3_5,1.31,217.3,256.3,244.8,34.81,,,x,s,,,,,1st Heating,,
1-UV-PET-4_1,1.21,207.6,257,243.6,37.11,,,x,s,,,,,1st Heating,,
1-UV-PET-4_2,1.18,210.1,255.4,244.2,36.78,,,x,s,,,,,1st Heating,,
1-UV-PET-4_3,1.11,209.5,257.1,243.7,36.76,,,x,s,,,,,1st Heating,,
1-UV-PET-4_4,1.4,214.8,257.8,244.2,36.66,,,x,s,,,,,1st Heating,,
1-UV-PET-4_5,1.13,209.9,257.39,242.9,35.18,,,x,s,,,,,1st Heating,,
1-UV-PET-1_1,1.38,207.3,256.3,235.3,36.85,x,,,s,,,,,2nd Heating,244.7,
1-UV-PET-1_2,1.32,207.7,257.7,235.6,36.73,x,,,s,,,,,2nd Heating,245.5,
1-UV-PET-1_3,1.56,205.2,256.7,235.1,38.31,x,,,s,,,,,2nd Heating,245.1,
1-UV-PET-1_4,1.41,208.8,257.1,235.2,36.87,x,,,s,,,,,2nd Heating,244.9,
1-UV-PET-1_5,1.31,204,256.5,234.6,35.91,x,,,s,,,,,2nd Heating,244.7,
1-UV-PET-2_1,1.22,205.7,258,235.2,37.92,x,,,s,,,,,2nd Heating,244.4,
1-UV-PET-2_2,1.17,206,257.6,234.9,36.82,x,,,s,,,,,2nd Heating,244.9,
1-UV-PET-2_3,1.34,207.1,258.8,234.9,35.54,x,,,s,,,,,2nd Heating,244.6,
1-UV-PET-2_4,1.26,207.7,257.8,235.1,37.34,x,,,s,,,,,2nd Heating,244.4,
1-UV-PET-2_5,1.19,209.03,258,234,36.53,x,,,s,,,,,2nd Heating,243.7,
1-UV-PET-3_1,1.38,206.5,255.9,234.5,37.58,x,,,s,,,,,2nd Heating,244.4,
1-UV-PET-3_2,1.51,205.7,257.9,235.1,38.44,x,,,s,,,,,2nd Heating,244.7,
1-UV-PET-3_3,1.53,209.1,257.5,234.4,38.25,x,,,s,,,,,2nd Heating,244.6,
1-UV-PET-3_4,1.38,206.1,256.3,234.8,37.15,x,,,s,,,,,2nd Heating,244.6,
1-UV-PET-3_5,1.31,207,257.1,234.9,37.28,x,,,s,,,,,2nd Heating,245.1,
1-UV-PET-4_1,1.21,207.8,256.6,235.3,37.11,x,,,s,,,,,2nd Heating,244.7,
1-UV-PET-4_2,1.18,207.6,255.9,234.3,35.93,x,,,s,,,,,2nd Heating,244.5,
1-UV-PET-4_3,1.11,207.9,256.1,234.2,36.49,x,,,s,,,,,2nd Heating,244.1,
1-UV-PET-4_4,1.4,206.4,256.3,234.2,38.49,x,,,s,,,,,2nd Heating,244.7,
1-UV-PET-4_5,1.13,205.6,257.4,232.9,35.32,x,,,s,,,,,2nd Heating,243.2,
2-UV-PET-1_1,1.28,207.5,256.2,243.4,34.14,,,x,s,,,,,1st Heating,,
2-UV-PET-1_2,1.4,207.5,255.7,243.1,35.76,,,x,s,,,,,1st Heating,,
2-UV-PET-1_3,1.27,207.5,255.1,243.3,36.88,,,x,s,,,,,1st Heating,,
2-UV-PET-1_4,1.33,207.5,255.9,242.7,35.52,,,x,s,,,,,1st Heating,,
2-UV-PET-1_5,1.33,207.5,255.4,242.8,32.71,,,x,s,,,,,1st Heating,,
2-UV-PET-2_1,1.14,204.9,255.2,243.8,35.15,,,x,s,,,,,1st Heating,,
2-UV-PET-2_2,1.34,204.9,255.3,243.3,35.68,,,x,s,,,,,1st Heating,,
2-UV-PET-2_3,1.35,204.9,255.1,244,35.46,,,x,s,,,,,1st Heating,,
2-UV-PET-2_4,1.24,204.9,255.8,243.5,36.8,,,x,s,,,,,1st Heating,,
2-UV-PET-2_5,1.29,204.9,255.8,243.9,35.77,,,x,s,,,,,1st Heating,,
2-UV-PET-3_1,1.42,206.5,255.2,243.7,34.3,,,x,s,,,,,1st Heating,,
2-UV-PET-3_2,1.26,206.5,255.4,242.9,35.55,,,x,s,,,,,1st Heating,,
2-UV-PET-3_3,1.28,206.5,254.1,242.6,34.75,,,x,s,,,,,1st Heating,,
2-UV-PET-3_4,1.46,206.5,253.7,243,34.51,,,x,s,,,,,1st Heating,,
2-UV-PET-3_5,1.12,206.5,255.3,242.7,34.87,,,x,s,,,,,1st Heating,,
2-UV-PET-4_1,1.19,206.9,253.01,243,34.87,,,x,s,,,,,1st Heating,,
2-UV-PET-4_2,1.39,206.9,255.2,243.4,34.4,,,x,s,,,,,1st Heating,,
2-UV-PET-4_3,1.35,206.9,255.4,242.6,35,,,x,s,,,,,1st Heating,,
2-UV-PET-4_4,1.45,207,255.49,242.5,36.94,,,x,s,,,,,1st Heating,,
2-UV-PET-4_5,1.44,207.09,255.3,243.2,35.93,,,x,s,,,,,1st Heating,,
2-UV-PET-1_1,1.28,207.9,256.9,234.4,34.39,x,,,s,,,,,2nd Heating,243.2,
2-UV-PET-1_2,1.4,207.9,256.6,234.5,36.05,x,,,s,,,,,2nd Heating,243.4,
2-UV-PET-1_3,1.27,207.9,257,234.4,34.95,x,,,s,,,,,2nd Heating,243.7,
2-UV-PET-1_4,1.33,207.9,256.6,234.4,34.65,x,,,s,,,,,2nd Heating,243.3,
2-UV-PET-1_5,1.33,207.9,256.3,234.1,33.77,x,,,s,,,,,2nd Heating,243.4,
2-UV-PET-2_1,1.14,206.3,255.7,234.4,35.65,x,,,s,,,,,2nd Heating,244.2,
2-UV-PET-2_2,1.34,206.3,256.1,234.2,35.14,x,,,s,,,,,2nd Heating,243.7,
2-UV-PET-2_3,1.35,206.3,255.9,234.2,35.61,x,,,s,,,,,2nd Heating,244.2,
2-UV-PET-2_4,1.24,206.3,257.1,233.7,34.94,x,,,s,,,,,2nd Heating,243.8,
2-UV-PET-2_5,1.29,206.3,256.7,234,34.95,x,,,s,,,,,2nd Heating,244.3,
2-UV-PET-3_1,1.42,205.7,255.26,234.3,35.6,x,,,s,,,,,2nd Heating,244.2,
2-UV-PET-3_2,1.26,205.7,254.86,233.8,35.02,x,,,s,,,,,2nd Heating,243.4,
2-UV-PET-3_3,1.28,205.7,254.66,233.5,34.56,x,,,s,,,,,2nd Heating,243.1,
2-UV-PET-3_4,1.46,205.7,253.6,233.7,34.86,x,,,s,,,,,2nd Heating,243.4,
2-UV-PET-3_5,1.12,205.7,254.95,233.9,33.59,x,,,s,,,,,2nd Heating,243.4,
2-UV-PET-4_1,1.19,204,255.95,234.2,35.31,x,,,s,,,,,2nd Heating,243.4,
2-UV-PET-4_2,1.39,204,254.92,234.2,36.07,x,,,s,,,,,2nd Heating,244.3,
2-UV-PET-4_3,1.35,204,256.7,233.2,35.48,x,,,s,,,,,2nd Heating,242.9,
2-UV-PET-4_4,1.45,204.4,255.7,232.3,35.78,x,,,s,,,,,2nd Heating,243.2,
2-UV-PET-4_5,1.44,204.4,255.49,234.1,37.17,x,,,s,,,,,2nd Heating,243.6,
3-UV-PET-1_1,1.34,208.84,254.94,242.6,37.47,,,x,s,,,,,1st Heating,,
3-UV-PET-1_2,1.21,205.93,254.81,242.2,37.9,,,x,s,,,,,1st Heating,,
3-UV-PET-1_3,1.47,211.57,253.08,241.4,38.79,,,x,s,,,,,1st Heating,,
3-UV-PET-1_4,1.27,205.85,253.26,242.6,36.13,,,x,s,,,,,1st Heating,,
3-UV-PET-1_5,1.27,205.31,256.41,242.2,36.1,,,x,s,,,,,1st Heating,,
3-UV-PET-2_1,1.3,207.04,254.77,242.5,35.91,,,x,s,,,,,1st Heating,,
3-UV-PET-2_2,1.45,206.03,257.19,241.9,35.87,,,x,s,,,,,1st Heating,,
3-UV-PET-2_3,1.17,206.73,255.93,241.8,34.84,,,x,s,,,,,1st Heating,,
3-UV-PET-2_4,1.27,206.7,257.7,240.8,34.22,,,x,s,,,,,1st Heating,,
3-UV-PET-2_5,1.53,206.68,255.97,241.9,35.52,,,x,s,,,,,1st Heating,,
3-UV-PET-3_1,1.53,207.3,256.9,242.6,36.19,,,x,s,,,,,1st Heating,,
3-UV-PET-3_2,1.42,204.7,254.73,243,35.01,,,x,s,,,,,1st Heating,,
3-UV-PET-3_3,1.48,204.86,256.01,242.4,36.6,,,x,s,,,,,1st Heating,,
3-UV-PET-3_4,1.41,205.71,256.89,241.6,34.64,,,x,s,,,,,1st Heating,,
3-UV-PET-3_5,1.37,206.2,257.05,242.1,36.43,,,x,s,,,,,1st Heating,,
3-UV-PET-4_1,1.46,207.12,254.71,242.3,35.18,,,x,s,,,,,1st Heating,,
3-UV-PET-4_2,1.23,206.6,255.8,241.4,33.43,,,x,s,,,,,1st Heating,,
3-UV-PET-4_3,1.39,206.6,256.3,242.1,34.75,,,x,s,,,,,1st Heating,,
3-UV-PET-4_4,1.38,209.74,255.8,242.7,35.84,,,x,s,,,,,1st Heating,,
3-UV-PET-4_5,1.33,206.94,256.72,242.2,34.34,,,x,s,,,,,1st Heating,,
3-UV-PET-control-1_1,1.3,208.1,253.14,240.4,32.62,,,x,s,,,,,1st Heating,,
3-UV-PET-control-1_2,1.31,207.9,254.12,240,31.82,,,x,s,,,,,1st Heating,,
3-UV-PET-control-1_3,1.42,208.27,254.41,240.5,32.07,,,x,s,,,,,1st Heating,,
3-UV-PET-control-1_4,1.22,207.24,252.99,240.3,30.87,,,x,s,,,,,1st Heating,,
3-UV-PET-control-1_5,1.23,208.37,252.79,240.1,31.5,,,x,s,,,,,1st Heating,,
3-UV-PET-control-2_1,1.22,208.26,254.23,240,30.44,,,x,s,,,,,1st Heating,,
3-UV-PET-control-2_2,1.54,208.1,254.45,240.7,32.67,,,x,s,,,,,1st Heating,,
3-UV-PET-control-2_3,1.3,208.06,252.92,240.3,32.01,,,x,s,,,,,1st Heating,,
3-UV-PET-control-2_4,1.34,208.79,254.25,240.4,32.32,,,x,s,,,,,1st Heating,,
3-UV-PET-control-2_5,1.43,208.1,251.44,240.7,32.32,,,x,s,,,,,1st Heating,,
3-UV-PET-control-3_1,1.27,208.72,254.4,241,31.77,,,x,s,,,,,1st Heating,,
3-UV-PET-control-3_2,1.27,209.98,251.75,241.2,32.62,,,x,s,,,,,1st Heating,,
3-UV-PET-control-3_3,1.39,209.16,252.72,241.3,32.3,,,x,s,,,,,1st Heating,,
3-UV-PET-control-3_4,1.18,208.87,253.66,239.4,31.5,,,x,s,,,,,1st Heating,,
3-UV-PET-control-3_5,1.17,208.86,253.54,240.9,31.52,,,x,s,,,,,1st Heating,,
3-UV-PET-1_1,1.34,207.16,255.11,234.8,36.22,x,,,s,,,,,2nd Heating,243.3,
3-UV-PET-1_2,1.21,207.65,254.94,233.4,34.85,x,,,s,,,,,2nd Heating,243.4,
3-UV-PET-1_3,1.47,205.53,255.47,233.1,35.51,x,,,s,,,,,2nd Heating,243.1,
3-UV-PET-1_4,1.27,206.13,256.18,234.3,35.16,x,,,s,,,,,2nd Heating,243,
3-UV-PET-1_5,1.27,205.37,255.01,232.2,35.75,x,,,s,,,,,2nd Heating,242.8,
3-UV-PET-2_1,1.3,207.1,253.43,233.9,34.84,x,,,s,,,,,2nd Heating,243.3,
3-UV-PET-2_2,1.45,207.3,253.66,231.7,35.61,x,,,s,,,,,2nd Heating,242.5,
3-UV-PET-2_3,1.17,206.47,253.99,232.4,35.71,x,,,s,,,,,2nd Heating,242.2,
3-UV-PET-2_4,1.27,205.1,253.95,232.9,35.01,x,,,s,,,,,2nd Heating,242.6,
3-UV-PET-2_5,1.53,205.72,253.84,232.8,33.93,x,,,s,,,,,2nd Heating,242.2,
3-UV-PET-3_1,1.53,207.5,256.52,233.9,35.5,x,,,s,,,,,2nd Heating,243.2,
3-UV-PET-3_2,1.42,207.45,256.33,235.2,34.4,x,,,s,,,,,2nd Heating,243.4,
3-UV-PET-3_3,1.48,207.4,255.51,230.7,34.1,x,,,s,,,,,2nd Heating,240.7,
3-UV-PET-3_4,1.41,207.65,254.24,232.5,33.23,x,,,s,,,,,2nd Heating,242.8,
3-UV-PET-3_5,1.37,207.25,253.76,233.3,34.45,x,,,s,,,,,2nd Heating,241.8,
3-UV-PET-4_1,1.46,206.6,257.03,233.2,36.11,x,,,s,,,,,2nd Heating,242.1,
3-UV-PET-4_2,1.23,205.93,256.64,233.5,37.38,x,,,s,,,,,2nd Heating,242.3,
3-UV-PET-4_3,1.39,205.92,255.85,233.7,32.78,x,,,s,,,,,2nd Heating,241.8,
3-UV-PET-4_4,1.38,206.6,258.81,233.9,35.94,x,,,s,,,,,2nd Heating,243.6,
3-UV-PET-4_5,1.33,206.28,255.84,233.8,34.34,x,,,s,,,,,2nd Heating,242.8,
3-UV-PET-control-1_1,1.3,205,252.95,230.2,33.45,x,,,s,,,,,2nd Heating,240.3,
3-UV-PET-control-1_2,1.31,205,251.76,230.5,31.64,x,,,s,,,,,2nd Heating,240.3,
3-UV-PET-control-1_3,1.42,205.12,252.44,230.2,33.26,x,,,s,,,,,2nd Heating,238.9,
3-UV-PET-control-1_4,1.22,205.03,252.87,230.8,32.84,x,,,s,,,,,2nd Heating,238.8,
3-UV-PET-control-1_5,1.23,205.19,253.49,230.7,31.75,x,,,s,,,,,2nd Heating,239.3,
3-UV-PET-control-2_1,1.22,207.16,252.01,229.5,30.3,x,,,s,,,,,2nd Heating,240.3,
3-UV-PET-control-2_2,1.54,206.69,251.38,229.1,32.01,x,,,s,,,,,2nd Heating,239.1,
3-UV-PET-control-2_3,1.3,207.15,251.62,232.5,31.9,x,,,s,,,,,2nd Heating,239.5,
3-UV-PET-control-2_4,1.34,206,252.3,231,31.58,x,,,s,,,,,2nd Heating,239.3,
3-UV-PET-control-2_5,1.43,206.03,252.09,230.3,32.21,x,,,s,,,,,2nd Heating,238.9,
3-UV-PET-control-3_1,1.27,206.8,250.86,229.5,31.45,x,,,s,,,,,2nd Heating,239.6,
3-UV-PET-control-3_2,1.27,206.8,251.46,229.7,32.62,x,,,s,,,,,2nd Heating,239.9,
3-UV-PET-control-3_3,1.39,207.16,251.88,229.7,31.83,x,,,s,,,,,2nd Heating,240.3,
3-UV-PET-control-3_4,1.18,206.8,250,229.8,30.72,x,,,s,,,,,2nd Heating,239.5,
3-UV-PET-control-3_5,1.17,206.8,250.3,229.8,30.72,x,,,s,,,,,2nd Heating,240.5,
1-EBT-PET-1_1,1.24,213.98,252.27,242.8,36.43,,,x,s,,,,,1st Heating,,
1-EBT-PET-1_2,1.31,208.9,252.3,242.9,37.2,,,x,s,,,,,1st Heating,,
1-EBT-PET-1_3,1.16,209.3,255.59,242.9,39.17,,,x,s,,,,,1st Heating,,
1-EBT-PET-1_4,1.36,209.28,255.08,243.3,37.98,,,x,s,,,,,1st Heating,,
1-EBT-PET-1_5,1.38,213.4,254,243.4,38.16,,,x,s,,,,,1st Heating,,
1-EBT-PET-2_1,1.3,208.4,255.18,243,38.74,,,x,s,,,,,1st Heating,,
1-EBT-PET-2_2,1.46,207.23,254.74,242.8,38.71,,,x,s,,,,,1st Heating,,
1-EBT-PET-2_3,1.18,208.32,252.29,243,38.53,,,x,s,,,,,1st Heating,,
1-EBT-PET-2_4,1.29,208.3,254.7,242.6,39.8,,,x,s,,,,,1st Heating,,
1-EBT-PET-2_5,1.38,209.82,254.7,243,37.66,,,x,s,,,,,1st Heating,,
1-EBT-PET-3_1,1.3,209.8,254.7,242.9,37.93,,,x,s,,,,,1st Heating,,
1-EBT-PET-3_2,1.3,210.07,254.7,242.9,37.65,,,x,s,,,,,1st Heating,,
1-EBT-PET-3_3,1.26,213.58,253.83,243.3,37.09,,,x,s,,,,,1st Heating,,
1-EBT-PET-3_4,1.26,213.29,254.66,243.3,38.13,,,x,s,,,,,1st Heating,,
1-EBT-PET-3_5,1.17,211.89,254.65,243.3,38.17,,,x,s,,,,,1st Heating,,
1-EBT-PET-4_1,1.08,214.2,255.56,242.7,38.31,,,x,s,,,,,1st Heating,,
1-EBT-PET-4_2,1.21,218.33,255.5,243.4,37.36,,,x,s,,,,,1st Heating,,
1-EBT-PET-4_3,1.07,214.86,255.5,241.9,35.42,,,x,,,,,,1st Heating,,
1-EBT-PET-4_4,1.35,214.98,256.09,243.6,35.78,,,x,s,,,,,1st Heating,,
1-EBT-PET-4_5,1.49,214.62,255.22,243,37.6,,,x,s,,,,,1st Heating,,
1-EBT-PET-1_1,1.24,202.12,254.05,230.2,33.08,1<2,,,s,,,,,2nd Heating,242.8,
1-EBT-PET-1_2,1.31,202.2,255.8,230.6,33.94,1<2,,,s,,,,,2nd Heating,241.2,
1-EBT-PET-1_3,1.16,202.01,253.44,231.6,35.2,1<2,,,s,,,,,2nd Heating,241.7,
1-EBT-PET-1_4,1.36,203.46,256.2,229.7,32.65,1<2,,,s,,,,,2nd Heating,241,
1-EBT-PET-1_5,1.38,203.56,255.99,232.3,37.31,1<2,,,s,,,,,2nd Heating,241.9,
1-EBT-PET-2_1,1.3,203.63,253.48,230.8,34.07,1<2,,,s,,,,,2nd Heating,242.4,
1-EBT-PET-2_2,1.46,203.37,251.68,231.5,34.92,1<2,,,s,,,,,2nd Heating,242.4,
1-EBT-PET-2_3,1.18,204.22,253.58,232.2,33.65,1<2,,,s,,,,,2nd Heating,242.3,
1-EBT-PET-2_4,1.29,203.7,254.75,232.8,34.67,1<2,,,s,,,,,2nd Heating,242.4,
1-EBT-PET-2_5,1.38,203.69,255.73,231.7,34.87,1<2,,,s,,,,,2nd Heating,241.9,
1-EBT-PET-3_1,1.08,202,254.2,232,33.89,1<2,,,s,,,,,2nd Heating,241.8,
1-EBT-PET-3_2,1.28,202.2,254.06,232.2,33.58,1<2,,,s,,,,,2nd Heating,241.1,
1-EBT-PET-3_3,1.19,203.8,253.81,233.5,34.67,1<2,,,s,,,,,2nd Heating,242.6,
1-EBT-PET-3_4,1.23,203.71,254.2,232.3,35.54,1<2,,,s,,,,,2nd Heating,242.7,
1-EBT-PET-3_5,1.49,204.47,255.06,230.4,33.75,1<2,,,s,,,,,2nd Heating,241.9,
1-EBT-PET-4_1,1.08,206.5,253.35,232,34.27,1<2,,,s,,,,,2nd Heating,242.3,
1-EBT-PET-4_2,1.21,204.63,254.02,232.7,35.47,1<2,,,s,,,,,2nd Heating,242.9,
1-EBT-PET-4_3,1.07,205.95,252.88,233.7,34,1<2,,,s,,,,,2nd Heating,241.9,
1-EBT-PET-4_4,1.35,205.91,252.34,232.3,33.82,1<2,,,s,,,,,2nd Heating,242.7,
1-EBT-PET-4_5,1.49,205.897,255.59,234.2,35.52,1<2,,,s,,,,,2nd Heating,242.1,
2-EBT-PET-1_1,1.5,214.6,256.3,241.5,39.21,,,x,s,,,,,1st Heating,,
2-EBT-PET-1_2,1.44,214.65,254.95,242.3,36.99,,,x,s,,,,,1st Heating,,
2-EBT-PET-1_3,1.49,214.6,252.69,242.2,38.05,,,x,s,,,,,1st Heating,,
2-EBT-PET-1_4,1.24,214.6,255.22,241.9,38.64,,,x,s,,,,,1st Heating,,
2-EBT-PET-1_5,1.3,214.6,254.88,242,38.61,,,x,s,,,,,1st Heating,,
2-EBT-PET-2_1,1.46,215.42,255.31,242.6,38.72,,,x,s,,,,,1st Heating,,
2-EBT-PET-2_2,1.45,215.23,255.05,241.5,37.38,,,x,s,,,,,1st Heating,,
2-EBT-PET-2_3,1.27,215.74,255.02,242,36.08,,,x,s,,,,,1st Heating,,
2-EBT-PET-2_4,1.38,215.94,252.99,241.6,36.55,,,x,s,,,,,1st Heating,,
2-EBT-PET-2_5,1.35,215.91,253.58,242,36.99,,,x,s,,,,,1st Heating,,
2-EBT-PET-3_1,1.43,214.6,252.68,241.3,37.81,,,x,s,,,,,1st Heating,,
2-EBT-PET-3_2,1.46,214.6,254.35,241.1,37.42,,,x,s,,,,,1st Heating,,
2-EBT-PET-3_3,1.51,214.6,252.21,242.2,37.21,,,x,s,,,,,1st Heating,,
