Sample Name,Name of Original DSC Measurement,Mass in mg,∆Hm in Jg-1,Segment,Polymer,TStart in °C,TEnd in °C,Tm in °C,Tm,Hm,Modality,Tail,Shoulder,Aging Level
2-UV-PE-1_1,UV-PE-21,1.2,113.7,2nd Heating,PE,50.7,116.46,107.8,108,5.41744,sharp,left,undefined,Second UV-cycle (8 weeks irradiation)
2-UV-PE-1_2,UV-PE-22,1.42,114.4,2nd Heating,PE,50.7,118.58,108.1,108,5.22685,sharp,left,undefined,Second UV-cycle (8 weeks irradiation)
2-UV-PE-1_3,UV-PE-23,1.35,112.8,2nd Heating,PE,50.7,118.63,108.3,108,5.03324,sharp,left,undefined,Second UV-cycle (8 weeks irradiation)
2-UV-PE-1_4,UV-PE-24,1.27,112.4,2nd Heating,PE,50.7,119.3,108.2,108,5.18946,sharp,left,undefined,Second UV-cycle (8 weeks irradiation)
2-UV-PE-1_5,UV-PE-25,1.5,113.9,2nd Heating,PE,50.7,118.36,108.0,108,5.15245,sharp,left,undefined,Second UV-cycle (8 weeks irradiation)
2-UV-PE-2_1,UV-PE-26,1.11,111.7,2nd Heating,PE,50.9,115.1,107.8,108,5.58085,sharp,left,undefined,Second UV-cycle (8 weeks irradiation)
2-UV-PE-2_2,UV-PE-27,1.27,111.7,2nd Heating,PE,50.0,117.7,107.9,108,5.29796,sharp,left,undefined,Second UV-cycle (8 weeks irradiation)
2-UV-PE-2_3,UV-PE-28,1.44,113.3,2nd Heating,PE,50.0,117.8,108.0,108,5.06997,sharp,left,undefined,Second UV-cycle (8 weeks irradiation)
2-UV-PE-2_4,UV-PE-29,1.34,111.8,2nd Heating,PE,50.0,117.2,108.2,108,5.03048,sharp,left,undefined,Second UV-cycle (8 weeks irradiation)
2-UV-PE-2_5,UV-PE-30,1.49,112.0,2nd Heating,PE,50.0,117.2,107.9,108,5.15288,sharp,left,undefined,Second UV-cycle (8 weeks irradiation)
2-UV-PE-3_1,UV-PE-31,1.12,113.5,2nd Heating,PE,50.5,117.77,107.7,108,5.67025,sharp,left,undefined,Second UV-cycle (8 weeks irradiation)
2-UV-PE-3_2,UV-PE-32,1.46,110.3,2nd Heating,PE,50.58,121.75,108.0,108,4.92196,sharp,left,undefined,Second UV-cycle (8 weeks irradiation)
2-UV-PE-3_3,UV-PE-33,1.46,111.6,2nd Heating,PE,50.616,120.49,108.2,108,4.99043,sharp,left,undefined,Second UV-cycle (8 weeks irradiation)
2-UV-PE-3_4,UV-PE-34,1.16,113.7,2nd Heating,PE,50.75,118.69,108.1,108,5.49737,sharp,left,undefined,Second UV-cycle (8 weeks irradiation)
2-UV-PE-3_5,UV-PE-35,1.19,110.9,2nd Heating,PE,50.5,118.54,107.8,108,5.34052,sharp,left,undefined,Second UV-cycle (8 weeks irradiation)
2-UV-PE-4_1,UV-PE-36,1.21,111.8,2nd Heating,PE,50.0,118.37,108.3,108,5.10991,sharp,left,undefined,Second UV-cycle (8 weeks irradiation)
2-UV-PE-4_2,UV-PE-37,1.28,113.4,2nd Heating,PE,50.0,118.49,108.1,108,5.13653,sharp,left,undefined,Second UV-cycle (8 weeks irradiation)
2-UV-PE-4_3,UV-PE-38,1.45,114.7,2nd Heating,PE,50.0,118.25,108.0,108,5.15043,sharp,left,undefined,Second UV-cycle (8 weeks irradiation)
2-UV-PE-4_4,UV-PE-39,1.16,114.7,2nd Heating,PE,50.0,118.53,107.9,108,5.45258,sharp,left,undefined,Second UV-cycle (8 weeks irradiation)
2-UV-PE-4_5,UV-PE-40,1.17,115.5,2nd Heating,PE,50.0,117.9,107.8,108,5.60512,sharp,left,undefined,Second UV-cycle (8 weeks irradiation)
3-UV-PE-1_1,UV-PE-41,1.48,119.8,2nd Heating,PE,50.127,119.43,107.7,108,8.10665,sharp,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PE-1_2,UV-PE-42,1.27,117.0,2nd Heating,PE,50.0,119.29,106.7,107,8.56028,sharp,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PE-1_3,UV-PE-43,1.37,118.6,2nd Heating,PE,50.0,118.87,107.6,108,8.53944,sharp,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PE-1_4,UV-PE-44,1.41,116.3,2nd Heating,PE,50.0,118.16,107.3,107,8.07744,sharp,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PE-1_5,UV-PE-45,1.47,116.8,2nd Heating,PE,50.0,118.97,107.8,108,8.6052,sharp,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PE-2_1,UV-PE-46,1.33,122.9,2nd Heating,PE,50.0,120.0,107.1,107,8.50466,sharp,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PE-2_2,UV-PE-47,1.36,120.7,2nd Heating,PE,50.785,120.23,107.9,108,8.47417,sharp,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PE-2_3,UV-PE-48,1.44,120.0,2nd Heating,PE,50.08,120.97,107.7,108,8.48813,sharp,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PE-2_4,UV-PE-49,1.37,111.6,2nd Heating,PE,50.0,122.8,106.6,107,8.08345,sharp,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PE-2_5,UV-PE-50,1.5,119.5,2nd Heating,PE,50.05,120.2,107.4,107,7.94721,sharp,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PE-3_1,UV-PE-51,1.49,117.5,2nd Heating,PE,50.0,119.89,107.8,108,8.12125,sharp,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PE-3_2,UV-PE-52,1.35,118.6,2nd Heating,PE,50.0,121.88,107.4,107,8.09591,sharp,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PE-3_3,UV-PE-53,1.3,119.8,2nd Heating,PE,50.0,120.1,107.4,107,8.86121,sharp,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PE-3_4,UV-PE-54,1.33,119.2,2nd Heating,PE,50.0,120.63,107.5,108,8.72835,sharp,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PE-3_5,UV-PE-55,1.35,120.5,2nd Heating,PE,50.0,120.71,107.8,108,8.9259,sharp,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PE-4_1,UV-PE-56,1.27,117.0,2nd Heating,PE,50.0,120.94,107.4,107,8.65794,sharp,left,undefined,Third UV-cycle (12 weks irradiation)
3-UV-PE-4_2,UV-PE-57,1.32,118.3,2nd Heating,PE,50.0,123.71,106.8,107,8.59713,sharp,left,undefined,Third UV-cycle (12 weks irradiation)
